file,split,hand_labelled,p_fray,p_chip,p_spot,p_slash
data_clean\train\def_front\cast_def_0_2678.jpeg,train,0,0.9994,0.4392,0.3569,0.4132
data_clean\train\def_front\cast_def_0_2679.jpeg,train,0,0.0017,0.0396,0.9301,0.1177
data_clean\train\def_front\cast_def_0_2681.jpeg,train,1,0.0002,0.0106,0.4936,0.2735
data_clean\train\def_front\cast_def_0_2685.jpeg,train,0,0.0001,0.0032,0.4757,0.4172
data_clean\train\def_front\cast_def_0_2688.jpeg,train,0,0.0003,0.0689,0.8858,0.0863
data_clean\train\def_front\cast_def_0_2689.jpeg,train,0,0.0013,0.1321,0.8200,0.1471
data_clean\train\def_front\cast_def_0_2692.jpeg,train,1,0.0009,0.9862,0.0002,0.3179
data_clean\train\def_front\cast_def_0_2693.jpeg,train,0,0.9981,0.5709,0.6452,0.3579
data_clean\train\def_front\cast_def_0_2696.jpeg,train,0,0.0002,0.0430,0.0103,0.8524
data_clean\train\def_front\cast_def_0_2697.jpeg,train,0,0.9995,0.7145,0.9351,0.8751
data_clean\train\def_front\cast_def_0_2699.jpeg,train,0,0.9995,0.0603,0.0023,0.9420
data_clean\train\def_front\cast_def_0_27.jpeg,train,0,0.9997,0.1127,0.0051,0.8973
data_clean\train\def_front\cast_def_0_2701.jpeg,train,1,0.9990,0.7171,0.9464,0.9285
data_clean\train\def_front\cast_def_0_2706.jpeg,train,0,0.9999,0.1547,0.0664,0.5959
data_clean\train\def_front\cast_def_0_2710.jpeg,train,0,0.9998,0.0875,0.0017,0.9696
data_clean\train\def_front\cast_def_0_2711.jpeg,train,0,0.9999,0.2466,0.0154,0.8290
data_clean\train\def_front\cast_def_0_2715.jpeg,train,0,0.0004,0.0536,0.0061,0.9199
data_clean\train\def_front\cast_def_0_2716.jpeg,train,0,0.9999,0.0599,0.0129,0.8861
data_clean\train\def_front\cast_def_0_2721.jpeg,train,0,0.0005,0.9740,0.0059,0.0852
data_clean\train\def_front\cast_def_0_2723.jpeg,train,1,0.9994,0.3515,0.0047,0.9044
data_clean\train\def_front\cast_def_0_2724.jpeg,train,0,0.0004,0.0146,0.7657,0.2336
data_clean\train\def_front\cast_def_0_2726.jpeg,train,0,1.0000,0.1361,0.0849,0.5229
data_clean\train\def_front\cast_def_0_2729.jpeg,train,0,0.9999,0.3607,0.2630,0.6363
data_clean\train\def_front\cast_def_0_2735.jpeg,train,0,0.0046,0.1895,0.6980,0.1647
data_clean\train\def_front\cast_def_0_2744.jpeg,train,0,0.9996,0.2772,0.1068,0.5172
data_clean\train\def_front\cast_def_0_2747.jpeg,train,0,0.0213,0.0154,0.0013,0.9905
data_clean\train\def_front\cast_def_0_2749.jpeg,train,0,0.0003,0.0023,0.8338,0.2998
data_clean\train\def_front\cast_def_0_2753.jpeg,train,0,0.9994,0.0899,0.0029,0.9055
data_clean\train\def_front\cast_def_0_2754.jpeg,train,0,0.0007,0.0559,0.6070,0.3790
data_clean\train\def_front\cast_def_0_2755.jpeg,train,0,0.9996,0.6689,0.9350,0.9065
data_clean\train\def_front\cast_def_0_2757.jpeg,train,0,0.0009,0.9857,0.0029,0.0480
data_clean\train\def_front\cast_def_0_2758.jpeg,train,0,0.0005,0.1135,0.8306,0.0999
data_clean\train\def_front\cast_def_0_2760.jpeg,train,0,0.0285,0.0112,0.0028,0.9895
data_clean\train\def_front\cast_def_0_2762.jpeg,train,0,0.0014,0.1709,0.7712,0.0562
data_clean\train\def_front\cast_def_0_2763.jpeg,train,0,0.9985,0.1742,0.0012,0.9651
data_clean\train\def_front\cast_def_0_2764.jpeg,train,0,0.0004,0.0048,0.8413,0.1724
data_clean\train\def_front\cast_def_0_2768.jpeg,train,1,0.0010,0.2030,0.9572,0.0167
data_clean\train\def_front\cast_def_0_2769.jpeg,train,0,0.0286,0.4575,0.8690,0.2687
data_clean\train\def_front\cast_def_0_2771.jpeg,train,0,0.0045,0.0922,0.6493,0.1203
data_clean\train\def_front\cast_def_0_2778.jpeg,train,0,0.9997,0.6120,0.9023,0.8732
data_clean\train\def_front\cast_def_0_2779.jpeg,train,0,0.0014,0.0094,0.0309,0.8998
data_clean\train\def_front\cast_def_0_2781.jpeg,train,0,0.0049,0.2409,0.8864,0.1084
data_clean\train\def_front\cast_def_0_2785.jpeg,train,0,0.0000,0.9998,0.0003,0.0055
data_clean\train\def_front\cast_def_0_2790.jpeg,train,0,0.9898,0.1558,0.4596,0.3507
data_clean\train\def_front\cast_def_0_2793.jpeg,train,0,0.0000,0.9999,0.0006,0.0008
data_clean\train\def_front\cast_def_0_2796.jpeg,train,0,0.0001,0.9964,0.0009,0.0323
data_clean\train\def_front\cast_def_0_2797.jpeg,train,0,0.0010,0.0858,0.7444,0.0870
data_clean\train\def_front\cast_def_0_2798.jpeg,train,0,0.9990,0.6164,0.8560,0.8445
data_clean\train\def_front\cast_def_0_2805.jpeg,train,0,0.0017,0.0263,0.3027,0.5299
data_clean\train\def_front\cast_def_0_2808.jpeg,train,0,0.0044,0.0948,0.6981,0.0814
data_clean\train\def_front\cast_def_0_2813.jpeg,train,0,0.9916,0.6381,0.6295,0.2910
data_clean\train\def_front\cast_def_0_2814.jpeg,train,0,0.0005,0.0039,0.5145,0.7308
data_clean\train\def_front\cast_def_0_2815.jpeg,train,0,0.0010,0.9982,0.0002,0.0833
data_clean\train\def_front\cast_def_0_2817.jpeg,train,0,0.0028,0.1446,0.4854,0.1484
data_clean\train\def_front\cast_def_0_2818.jpeg,train,0,0.0076,0.3101,0.8706,0.1423
data_clean\train\def_front\cast_def_0_2820.jpeg,train,0,0.0019,0.0598,0.8027,0.0900
data_clean\train\def_front\cast_def_0_2824.jpeg,train,0,0.0003,0.1270,0.8481,0.0403
data_clean\train\def_front\cast_def_0_2826.jpeg,train,0,0.0005,0.0799,0.8302,0.1836
data_clean\train\def_front\cast_def_0_2827.jpeg,train,0,0.0013,0.0101,0.5159,0.5322
data_clean\train\def_front\cast_def_0_2829.jpeg,train,0,0.0283,0.4780,0.8236,0.1610
data_clean\train\def_front\cast_def_0_2833.jpeg,train,1,0.9999,0.0517,0.0013,0.9808
data_clean\train\def_front\cast_def_0_2834.jpeg,train,0,0.0000,0.6190,0.9231,0.0072
data_clean\train\def_front\cast_def_0_2838.jpeg,train,0,0.0013,0.0965,0.6162,0.3520
data_clean\train\def_front\cast_def_0_2840.jpeg,train,0,0.0004,0.0114,0.6773,0.3174
data_clean\train\def_front\cast_def_0_2842.jpeg,train,0,0.0006,0.1918,0.7547,0.0776
data_clean\train\def_front\cast_def_0_2843.jpeg,train,0,0.9995,0.8024,0.9715,0.8864
data_clean\train\def_front\cast_def_0_2846.jpeg,train,0,0.0141,0.0279,0.8480,0.1664
data_clean\train\def_front\cast_def_0_2847.jpeg,train,0,0.0006,0.9716,0.0030,0.1257
data_clean\train\def_front\cast_def_0_2852.jpeg,train,1,0.1510,0.3657,0.8306,0.2501
data_clean\train\def_front\cast_def_0_2854.jpeg,train,0,0.0000,0.9995,0.0007,0.0056
data_clean\train\def_front\cast_def_0_2856.jpeg,train,0,0.1502,0.5134,0.8760,0.4096
data_clean\train\def_front\cast_def_0_2860.jpeg,train,0,0.9999,0.0340,0.0032,0.8862
data_clean\train\def_front\cast_def_0_2861.jpeg,train,0,0.0004,0.9995,0.0004,0.0141
data_clean\train\def_front\cast_def_0_2866.jpeg,train,0,0.0003,0.0775,0.0073,0.7593
data_clean\train\def_front\cast_def_0_2867.jpeg,train,0,0.0007,0.1815,0.8876,0.0288
data_clean\train\def_front\cast_def_0_2868.jpeg,train,0,1.0000,0.0679,0.0346,0.4786
data_clean\train\def_front\cast_def_0_2869.jpeg,train,0,0.9999,0.1544,0.0048,0.9012
data_clean\train\def_front\cast_def_0_2871.jpeg,train,0,0.0026,0.0846,0.5103,0.3182
data_clean\train\def_front\cast_def_0_2873.jpeg,train,0,0.0000,0.2325,0.9261,0.0054
data_clean\train\def_front\cast_def_0_2875.jpeg,train,0,0.0528,0.1149,0.8140,0.3005
data_clean\train\def_front\cast_def_0_2876.jpeg,train,0,0.9996,0.0440,0.0019,0.9639
data_clean\train\def_front\cast_def_0_2882.jpeg,train,0,0.9999,0.1896,0.1034,0.5460
data_clean\train\def_front\cast_def_0_2884.jpeg,train,0,0.0007,0.1547,0.2255,0.3325
data_clean\train\def_front\cast_def_0_2888.jpeg,train,0,0.0004,0.0052,0.8968,0.1738
data_clean\train\def_front\cast_def_0_2889.jpeg,train,0,0.9993,0.5178,0.6212,0.5157
data_clean\train\def_front\cast_def_0_2891.jpeg,train,0,1.0000,0.2677,0.2342,0.4730
data_clean\train\def_front\cast_def_0_2895.jpeg,train,0,0.9993,0.0944,0.0010,0.9829
data_clean\train\def_front\cast_def_0_2896.jpeg,train,0,0.9923,0.6237,0.6207,0.2893
data_clean\train\def_front\cast_def_0_2898.jpeg,train,0,0.0778,0.3480,0.8686,0.1675
data_clean\train\def_front\cast_def_0_2899.jpeg,train,0,0.0010,0.0204,0.4341,0.3984
data_clean\train\def_front\cast_def_0_2900.jpeg,train,0,0.9982,0.2777,0.0013,0.9555
data_clean\train\def_front\cast_def_0_2901.jpeg,train,0,0.9999,0.1829,0.0031,0.9594
data_clean\train\def_front\cast_def_0_2902.jpeg,train,1,0.0034,0.0677,0.5522,0.4919
data_clean\train\def_front\cast_def_0_2907.jpeg,train,0,0.0010,0.0075,0.0481,0.8984
data_clean\train\def_front\cast_def_0_2916.jpeg,train,0,0.9999,0.2220,0.2118,0.4383
data_clean\train\def_front\cast_def_0_2923.jpeg,train,0,0.0221,0.0507,0.8959,0.0844
data_clean\train\def_front\cast_def_0_2924.jpeg,train,1,1.0000,0.2232,0.1004,0.5685
data_clean\train\def_front\cast_def_0_2925.jpeg,train,0,0.0013,0.9938,0.0004,0.1235
data_clean\train\def_front\cast_def_0_2926.jpeg,train,0,0.9982,0.5716,0.5399,0.1847
data_clean\train\def_front\cast_def_0_2927.jpeg,train,0,0.9999,0.0845,0.0164,0.8928
data_clean\train\def_front\cast_def_0_2928.jpeg,train,0,0.0001,0.3312,0.9254,0.0113
data_clean\train\def_front\cast_def_0_2933.jpeg,train,0,0.0051,0.1856,0.7145,0.1858
data_clean\train\def_front\cast_def_0_2937.jpeg,train,0,0.0004,0.0094,0.5453,0.3828
data_clean\train\def_front\cast_def_0_2939.jpeg,train,0,0.0029,0.0082,0.0180,0.9387
data_clean\train\def_front\cast_def_0_2940.jpeg,train,0,0.9999,0.1485,0.0452,0.8128
data_clean\train\def_front\cast_def_0_2944.jpeg,train,0,0.0002,0.0907,0.7122,0.1136
data_clean\train\def_front\cast_def_0_2945.jpeg,train,0,0.9992,0.1564,0.0016,0.9624
data_clean\train\def_front\cast_def_0_2946.jpeg,train,0,0.0007,0.9566,0.0212,0.0562
data_clean\train\def_front\cast_def_0_2948.jpeg,train,0,0.0004,0.0166,0.8134,0.1288
data_clean\train\def_front\cast_def_0_2949.jpeg,train,0,0.0035,0.1209,0.3623,0.4235
data_clean\train\def_front\cast_def_0_2950.jpeg,train,0,0.0060,0.0151,0.7663,0.2896
data_clean\train\def_front\cast_def_0_2952.jpeg,train,0,0.0002,0.2094,0.8234,0.0170
data_clean\train\def_front\cast_def_0_2954.jpeg,train,0,0.0002,0.0774,0.8505,0.0878
data_clean\train\def_front\cast_def_0_2955.jpeg,train,0,0.0001,0.0134,0.6415,0.1716
data_clean\train\def_front\cast_def_0_2959.jpeg,train,0,0.9994,0.6765,0.9379,0.8469
data_clean\train\def_front\cast_def_0_2960.jpeg,train,0,0.9961,0.7435,0.8116,0.2771
data_clean\train\def_front\cast_def_0_2963.jpeg,train,0,0.9998,0.0548,0.0021,0.9233
data_clean\train\def_front\cast_def_0_2964.jpeg,train,0,0.9854,0.8204,0.8774,0.2854
data_clean\train\def_front\cast_def_0_2965.jpeg,train,0,0.0010,0.9922,0.0019,0.0325
data_clean\train\def_front\cast_def_0_2976.jpeg,train,0,0.9960,0.6259,0.7370,0.2103
data_clean\train\def_front\cast_def_0_2983.jpeg,train,0,0.9988,0.3648,0.1836,0.3883
data_clean\train\def_front\cast_def_0_2985.jpeg,train,0,0.0174,0.1185,0.9284,0.0687
data_clean\train\def_front\cast_def_0_2986.jpeg,train,0,0.9998,0.1825,0.0022,0.9438
data_clean\train\def_front\cast_def_0_2989.jpeg,train,0,0.0003,0.0539,0.6886,0.0742
data_clean\train\def_front\cast_def_0_2990.jpeg,train,1,0.0008,0.0988,0.6382,0.1199
data_clean\train\def_front\cast_def_0_2991.jpeg,train,0,0.0004,0.0715,0.7975,0.1027
data_clean\train\def_front\cast_def_0_2998.jpeg,train,0,0.9999,0.3119,0.2451,0.5190
data_clean\train\def_front\cast_def_0_3003.jpeg,train,0,0.0030,0.0790,0.6409,0.3028
data_clean\train\def_front\cast_def_0_3005.jpeg,train,0,0.0022,0.9930,0.0001,0.2314
data_clean\train\def_front\cast_def_0_3006.jpeg,train,0,0.0270,0.0441,0.4543,0.3453
data_clean\train\def_front\cast_def_0_3011.jpeg,train,0,0.0088,0.0382,0.9161,0.1516
data_clean\train\def_front\cast_def_0_3018.jpeg,train,0,0.0007,0.9732,0.0059,0.1001
data_clean\train\def_front\cast_def_0_3019.jpeg,train,0,0.0911,0.3872,0.8633,0.1413
data_clean\train\def_front\cast_def_0_3020.jpeg,train,0,0.9995,0.6937,0.8731,0.6471
data_clean\train\def_front\cast_def_0_3021.jpeg,train,0,0.0001,0.1974,0.2604,0.1048
data_clean\train\def_front\cast_def_0_3025.jpeg,train,0,0.0001,0.0361,0.0089,0.7573
data_clean\train\def_front\cast_def_0_3026.jpeg,train,0,0.0006,0.0312,0.8557,0.0563
data_clean\train\def_front\cast_def_0_3028.jpeg,train,0,0.9993,0.6505,0.9175,0.8690
data_clean\train\def_front\cast_def_0_3031.jpeg,train,0,0.9977,0.2182,0.0251,0.8528
data_clean\train\def_front\cast_def_0_3035.jpeg,train,0,1.0000,0.1861,0.0861,0.5564
data_clean\train\def_front\cast_def_0_3036.jpeg,train,0,0.0002,0.0215,0.8087,0.1227
data_clean\train\def_front\cast_def_0_3037.jpeg,train,1,0.0031,0.0557,0.9086,0.1057
data_clean\train\def_front\cast_def_0_3039.jpeg,train,0,0.0000,0.6421,0.9305,0.0032
data_clean\train\def_front\cast_def_0_304.jpeg,train,1,0.0070,0.2316,0.9209,0.0438
data_clean\train\def_front\cast_def_0_3040.jpeg,train,0,0.9996,0.1111,0.0058,0.8914
data_clean\train\def_front\cast_def_0_3041.jpeg,train,0,0.0001,0.1413,0.4107,0.1578
data_clean\train\def_front\cast_def_0_3043.jpeg,train,0,0.0011,0.0292,0.7613,0.3368
data_clean\train\def_front\cast_def_0_3045.jpeg,train,0,0.9996,0.2869,0.0051,0.9407
data_clean\train\def_front\cast_def_0_3046.jpeg,train,0,0.0023,0.0676,0.5989,0.0783
data_clean\train\def_front\cast_def_0_3047.jpeg,train,0,0.0012,0.0664,0.3169,0.4167
data_clean\train\def_front\cast_def_0_3048.jpeg,train,0,0.9998,0.2065,0.0268,0.8955
data_clean\train\def_front\cast_def_0_3050.jpeg,train,0,0.0054,0.0979,0.5621,0.4018
data_clean\train\def_front\cast_def_0_3052.jpeg,train,0,1.0000,0.2587,0.1621,0.6196
data_clean\train\def_front\cast_def_0_3055.jpeg,train,0,0.0009,0.0986,0.6308,0.1424
data_clean\train\def_front\cast_def_0_3056.jpeg,train,0,1.0000,0.3771,0.5771,0.4823
data_clean\train\def_front\cast_def_0_3059.jpeg,train,0,0.9996,0.6855,0.9441,0.8750
data_clean\train\def_front\cast_def_0_3067.jpeg,train,0,0.0074,0.0726,0.6590,0.3300
data_clean\train\def_front\cast_def_0_3068.jpeg,train,0,0.0009,0.1787,0.9576,0.0401
data_clean\train\def_front\cast_def_0_3073.jpeg,train,0,0.0092,0.1557,0.6109,0.0916
data_clean\train\def_front\cast_def_0_3074.jpeg,train,0,0.0005,0.0265,0.7819,0.0851
data_clean\train\def_front\cast_def_0_3075.jpeg,train,0,0.0407,0.4778,0.7551,0.0834
data_clean\train\def_front\cast_def_0_3076.jpeg,train,0,0.0004,0.0400,0.9346,0.0276
data_clean\train\def_front\cast_def_0_308.jpeg,train,0,0.0002,0.9643,0.0084,0.0984
data_clean\train\def_front\cast_def_0_3080.jpeg,train,0,0.0001,0.2292,0.7014,0.0365
data_clean\train\def_front\cast_def_0_3082.jpeg,train,0,0.9999,0.0392,0.0004,0.9819
data_clean\train\def_front\cast_def_0_3084.jpeg,train,0,0.9985,0.1422,0.1179,0.4578
data_clean\train\def_front\cast_def_0_3087.jpeg,train,0,0.9999,0.2292,0.0805,0.6931
data_clean\train\def_front\cast_def_0_3090.jpeg,train,0,0.0004,0.0144,0.9057,0.1360
data_clean\train\def_front\cast_def_0_3092.jpeg,train,0,0.0000,0.9999,0.0010,0.0014
data_clean\train\def_front\cast_def_0_3097.jpeg,train,1,0.0002,0.0354,0.7885,0.1412
data_clean\train\def_front\cast_def_0_31.jpeg,train,0,0.0026,0.2267,0.9258,0.0620
data_clean\train\def_front\cast_def_0_310.jpeg,train,0,1.0000,0.1855,0.1088,0.5924
data_clean\train\def_front\cast_def_0_3104.jpeg,train,0,0.0112,0.3278,0.9369,0.1644
data_clean\train\def_front\cast_def_0_3105.jpeg,train,0,0.0634,0.3893,0.8886,0.1401
data_clean\train\def_front\cast_def_0_3107.jpeg,train,0,0.0001,0.1562,0.6470,0.0317
data_clean\train\def_front\cast_def_0_3108.jpeg,train,0,0.9992,0.3888,0.0019,0.9666
data_clean\train\def_front\cast_def_0_3113.jpeg,train,0,0.1759,0.0327,0.0004,0.9943
data_clean\train\def_front\cast_def_0_3115.jpeg,train,0,0.0053,0.0046,0.0042,0.9784
data_clean\train\def_front\cast_def_0_3117.jpeg,train,0,0.9994,0.6981,0.9281,0.8771
data_clean\train\def_front\cast_def_0_3122.jpeg,train,0,0.9999,0.0748,0.0111,0.9475
data_clean\train\def_front\cast_def_0_3128.jpeg,train,0,0.9993,0.2149,0.0241,0.7641
data_clean\train\def_front\cast_def_0_313.jpeg,train,0,1.0000,0.2751,0.2940,0.4131
data_clean\train\def_front\cast_def_0_3130.jpeg,train,0,0.0004,0.0097,0.3009,0.5563
data_clean\train\def_front\cast_def_0_3131.jpeg,train,0,1.0000,0.1766,0.0528,0.8804
data_clean\train\def_front\cast_def_0_3133.jpeg,train,0,0.9988,0.2040,0.0847,0.6182
data_clean\train\def_front\cast_def_0_3135.jpeg,train,0,0.9990,0.4720,0.3837,0.2841
data_clean\train\def_front\cast_def_0_3137.jpeg,train,0,0.0201,0.0279,0.8549,0.1365
data_clean\train\def_front\cast_def_0_3139.jpeg,train,0,0.0003,0.9925,0.0002,0.1358
data_clean\train\def_front\cast_def_0_314.jpeg,train,0,0.0002,0.0187,0.8516,0.1433
data_clean\train\def_front\cast_def_0_3142.jpeg,train,0,0.0015,0.0763,0.1910,0.2927
data_clean\train\def_front\cast_def_0_3143.jpeg,train,0,0.0002,0.0107,0.5790,0.2564
data_clean\train\def_front\cast_def_0_3145.jpeg,train,0,0.9980,0.2375,0.0677,0.8199
data_clean\train\def_front\cast_def_0_3147.jpeg,train,0,0.0098,0.0368,0.0113,0.9302
data_clean\train\def_front\cast_def_0_3149.jpeg,train,0,0.9998,0.1897,0.0033,0.9454
data_clean\train\def_front\cast_def_0_315.jpeg,train,0,0.0206,0.3150,0.9044,0.1040
data_clean\train\def_front\cast_def_0_3152.jpeg,train,0,0.9991,0.7962,0.9700,0.8785
data_clean\train\def_front\cast_def_0_3153.jpeg,train,0,0.0022,0.0818,0.9080,0.0848
data_clean\train\def_front\cast_def_0_3154.jpeg,train,0,0.9997,0.1464,0.0147,0.8653
data_clean\train\def_front\cast_def_0_3155.jpeg,train,1,0.9999,0.2717,0.3067,0.5056
data_clean\train\def_front\cast_def_0_3157.jpeg,train,0,0.0695,0.2977,0.8239,0.1864
data_clean\train\def_front\cast_def_0_3158.jpeg,train,0,0.0010,0.0187,0.5852,0.4206
data_clean\train\def_front\cast_def_0_3161.jpeg,train,0,0.0049,0.0128,0.4217,0.7598
data_clean\train\def_front\cast_def_0_3166.jpeg,train,0,0.9997,0.0911,0.0007,0.9875
data_clean\train\def_front\cast_def_0_3167.jpeg,train,0,0.0002,0.3621,0.9303,0.0201
data_clean\train\def_front\cast_def_0_3169.jpeg,train,0,0.0034,0.1631,0.9117,0.2940
data_clean\train\def_front\cast_def_0_317.jpeg,train,0,0.0009,0.0063,0.0258,0.8848
data_clean\train\def_front\cast_def_0_3171.jpeg,train,0,0.9999,0.1873,0.1462,0.4555
data_clean\train\def_front\cast_def_0_3173.jpeg,train,0,0.0007,0.0511,0.8425,0.1666
data_clean\train\def_front\cast_def_0_3177.jpeg,train,0,0.0274,0.3294,0.8116,0.2268
data_clean\train\def_front\cast_def_0_3180.jpeg,train,0,0.0005,0.0807,0.7573,0.0569
data_clean\train\def_front\cast_def_0_3182.jpeg,train,0,0.0011,0.0059,0.0429,0.9064
data_clean\train\def_front\cast_def_0_3183.jpeg,train,0,0.0002,0.0388,0.6494,0.1282
data_clean\train\def_front\cast_def_0_3185.jpeg,train,0,0.0084,0.0719,0.8572,0.2596
data_clean\train\def_front\cast_def_0_3187.jpeg,train,0,0.9994,0.7623,0.9391,0.8145
data_clean\train\def_front\cast_def_0_3188.jpeg,train,0,0.0000,0.9997,0.0006,0.0045
data_clean\train\def_front\cast_def_0_319.jpeg,train,0,0.9993,0.4492,0.4976,0.4783
data_clean\train\def_front\cast_def_0_3190.jpeg,train,0,0.9999,0.2394,0.2024,0.4696
data_clean\train\def_front\cast_def_0_3192.jpeg,train,0,0.0004,0.0901,0.6502,0.1251
data_clean\train\def_front\cast_def_0_3196.jpeg,train,0,0.0137,0.3294,0.8486,0.1401
data_clean\train\def_front\cast_def_0_3197.jpeg,train,0,0.0006,0.9876,0.0097,0.0368
data_clean\train\def_front\cast_def_0_3199.jpeg,train,0,0.0000,0.9998,0.0004,0.0038
data_clean\train\def_front\cast_def_0_320.jpeg,train,0,1.0000,0.0627,0.0023,0.9570
data_clean\train\def_front\cast_def_0_3201.jpeg,train,0,0.0005,0.1517,0.8360,0.0334
data_clean\train\def_front\cast_def_0_3202.jpeg,train,0,0.0001,0.0570,0.5410,0.1359
data_clean\train\def_front\cast_def_0_3208.jpeg,train,0,0.0003,0.0433,0.7071,0.1229
data_clean\train\def_front\cast_def_0_321.jpeg,train,0,0.9362,0.1167,0.4633,0.5091
data_clean\train\def_front\cast_def_0_3211.jpeg,train,0,0.9999,0.1212,0.0019,0.9469
data_clean\train\def_front\cast_def_0_3217.jpeg,train,0,0.9990,0.1533,0.0215,0.8039
data_clean\train\def_front\cast_def_0_3218.jpeg,train,0,0.0006,0.9813,0.0079,0.0328
data_clean\train\def_front\cast_def_0_3219.jpeg,train,0,0.0265,0.0087,0.0024,0.9946
data_clean\train\def_front\cast_def_0_3227.jpeg,train,0,0.0032,0.0652,0.0068,0.8884
data_clean\train\def_front\cast_def_0_3228.jpeg,train,0,0.9995,0.7680,0.9683,0.8565
data_clean\train\def_front\cast_def_0_323.jpeg,train,0,0.0031,0.9845,0.0002,0.4768
data_clean\train\def_front\cast_def_0_3233.jpeg,train,1,0.0001,0.0020,0.9066,0.2398
data_clean\train\def_front\cast_def_0_3236.jpeg,train,0,0.9998,0.2613,0.1665,0.4693
data_clean\train\def_front\cast_def_0_3238.jpeg,train,0,0.9999,0.1970,0.0155,0.8778
data_clean\train\def_front\cast_def_0_3239.jpeg,train,0,0.9998,0.1448,0.0019,0.9501
data_clean\train\def_front\cast_def_0_324.jpeg,train,0,0.9993,0.2225,0.0345,0.8574
data_clean\train\def_front\cast_def_0_3245.jpeg,train,0,0.0006,0.1163,0.8776,0.1486
data_clean\train\def_front\cast_def_0_3246.jpeg,train,0,0.9997,0.8049,0.9846,0.8948
data_clean\train\def_front\cast_def_0_3248.jpeg,train,0,0.0001,0.0635,0.8542,0.0424
data_clean\train\def_front\cast_def_0_3250.jpeg,train,0,0.0005,0.9562,0.0141,0.0747
data_clean\train\def_front\cast_def_0_3252.jpeg,train,0,0.0003,0.0161,0.8189,0.1018
data_clean\train\def_front\cast_def_0_3253.jpeg,train,1,1.0000,0.0552,0.0031,0.9713
data_clean\train\def_front\cast_def_0_3254.jpeg,train,0,0.0263,0.3090,0.8370,0.0743
data_clean\train\def_front\cast_def_0_3257.jpeg,train,0,0.0223,0.0268,0.0017,0.9745
data_clean\train\def_front\cast_def_0_3261.jpeg,train,0,0.0021,0.0579,0.9700,0.0362
data_clean\train\def_front\cast_def_0_3262.jpeg,train,0,0.0012,0.1637,0.8457,0.0819
data_clean\train\def_front\cast_def_0_327.jpeg,train,0,0.0003,0.1248,0.9299,0.0269
data_clean\train\def_front\cast_def_0_3272.jpeg,train,0,0.0116,0.1426,0.5224,0.0925
data_clean\train\def_front\cast_def_0_3274.jpeg,train,0,0.9988,0.7360,0.9425,0.8829
data_clean\train\def_front\cast_def_0_3276.jpeg,train,0,0.9988,0.6927,0.8923,0.8195
data_clean\train\def_front\cast_def_0_3280.jpeg,train,0,0.9992,0.1442,0.0015,0.9704
data_clean\train\def_front\cast_def_0_3287.jpeg,train,0,0.0581,0.1393,0.3475,0.2083
data_clean\train\def_front\cast_def_0_3288.jpeg,train,0,0.9988,0.7196,0.9650,0.9294
data_clean\train\def_front\cast_def_0_3289.jpeg,train,0,0.0009,0.9995,0.0000,0.0733
data_clean\train\def_front\cast_def_0_3290.jpeg,train,0,0.9999,0.4450,0.5107,0.5067
data_clean\train\def_front\cast_def_0_3292.jpeg,train,0,0.0018,0.1038,0.5426,0.4129
data_clean\train\def_front\cast_def_0_3295.jpeg,train,0,0.0014,0.0943,0.7287,0.0681
data_clean\train\def_front\cast_def_0_3297.jpeg,train,0,0.0036,0.0445,0.3991,0.2433
data_clean\train\def_front\cast_def_0_3299.jpeg,train,0,0.0008,0.0550,0.6999,0.1449
data_clean\train\def_front\cast_def_0_33.jpeg,train,0,0.0072,0.0235,0.8032,0.3305
data_clean\train\def_front\cast_def_0_330.jpeg,train,0,0.0001,0.0906,0.6250,0.0680
data_clean\train\def_front\cast_def_0_3303.jpeg,train,0,0.9999,0.2368,0.0854,0.5575
data_clean\train\def_front\cast_def_0_3308.jpeg,train,1,0.0001,0.9976,0.0006,0.0528
data_clean\train\def_front\cast_def_0_331.jpeg,train,0,1.0000,0.0852,0.0131,0.9215
data_clean\train\def_front\cast_def_0_3310.jpeg,train,0,0.9981,0.5782,0.6178,0.3186
data_clean\train\def_front\cast_def_0_3314.jpeg,train,0,0.0046,0.1507,0.2632,0.2537
data_clean\train\def_front\cast_def_0_3317.jpeg,train,0,0.0000,0.6270,0.9190,0.0029
data_clean\train\def_front\cast_def_0_3320.jpeg,train,0,0.0003,0.0251,0.3736,0.4243
data_clean\train\def_front\cast_def_0_3327.jpeg,train,0,0.9999,0.3211,0.3189,0.5234
data_clean\train\def_front\cast_def_0_3328.jpeg,train,0,0.9999,0.2509,0.0654,0.8051
data_clean\train\def_front\cast_def_0_3329.jpeg,train,0,0.0144,0.0142,0.0060,0.9803
data_clean\train\def_front\cast_def_0_333.jpeg,train,0,0.0007,0.0061,0.7363,0.1973
data_clean\train\def_front\cast_def_0_3330.jpeg,train,0,0.0162,0.1055,0.8678,0.2299
data_clean\train\def_front\cast_def_0_3333.jpeg,train,0,0.0009,0.0420,0.0248,0.7591
data_clean\train\def_front\cast_def_0_3334.jpeg,train,0,0.0036,0.0173,0.0120,0.9387
data_clean\train\def_front\cast_def_0_3336.jpeg,train,0,0.0008,0.0575,0.8459,0.1240
data_clean\train\def_front\cast_def_0_3338.jpeg,train,0,0.0005,0.0054,0.5098,0.7122
